Temp. /K 	conversion
322.500   	0.0000
358.500   	0.0033
360.000   	0.0040
361.500   	0.0047
363.000   	0.0056
364.500   	0.0067
366.000   	0.0079
367.500   	0.0094
369.000   	0.0111
370.500   	0.0130
372.000   	0.0154
373.500   	0.0181
375.000   	0.0213
376.500   	0.0249
378.000   	0.0292
379.500   	0.0342
381.000   	0.0399
382.500   	0.0466
384.000   	0.0543
385.500   	0.0631
387.000   	0.0732
388.500   	0.0849
390.000   	0.0982
391.500   	0.1134
393.000   	0.1306
394.500   	0.1502
396.000   	0.1724
397.500   	0.1973
399.000   	0.2253
400.500   	0.2566
402.000   	0.2913
403.500   	0.3297
405.000   	0.3718
406.500   	0.4176
408.000   	0.4671
409.500   	0.5199
411.000   	0.5756
412.500   	0.6335
414.000   	0.6926
415.500   	0.7515
417.000   	0.8086
418.500   	0.8619
420.000   	0.9090
421.500   	0.9477
423.000   	0.9761
430.500   	1.0000
