Temp. /K 	conversion
321.000   	0.0000
351.750   	0.0015
360.000   	0.0040
369.750   	0.0120
382.500   	0.0462
389.250   	0.0899
391.500   	0.1113
392.250   	0.1193
393.000   	0.1278
393.750   	0.1369
394.500   	0.1465
395.250   	0.1567
396.000   	0.1675
396.750   	0.1789
397.500   	0.1910
398.250   	0.2037
399.000   	0.2171
399.750   	0.2312
400.500   	0.2460
401.250   	0.2615
402.000   	0.2777
402.750   	0.2947
403.500   	0.3123
404.250   	0.3308
405.000   	0.3499
405.750   	0.3697
406.500   	0.3902
407.250   	0.4114
408.000   	0.4332
408.750   	0.4556
409.500   	0.4784
410.250   	0.5018
411.000   	0.5255
411.750   	0.5496
412.500   	0.5739
413.250   	0.5984
414.000   	0.6229
414.750   	0.6474
415.500   	0.6717
416.250   	0.6958
417.000   	0.7195
417.750   	0.7427
418.500   	0.7652
419.250   	0.7871
420.000   	0.8080
420.750   	0.8281
421.500   	0.8471
422.250   	0.8651
423.000   	0.8818
423.750   	0.8973
424.500   	0.9116
425.250   	0.9246
426.000   	0.9363
426.750   	0.9467
427.500   	0.9559
445.500   	1.0000
