conversion 	 Temp /K
0.005   	390.010869
0.010   	381.498452
0.015   	376.713934
0.020   	373.408663
0.025   	370.897853
0.030   	368.882127
0.035   	367.204025
0.040   	365.770625
0.045   	364.522563
0.050   	363.419642
0.055   	362.433402
0.060   	361.542966
0.065   	360.732575
0.070   	359.990045
0.075   	359.305766
0.080   	358.672029
0.085   	358.082554
0.090   	357.532161
0.095   	357.016528
0.100   	356.532013
0.104   	356.075518
0.109   	355.644385
0.114   	355.236320
0.119   	354.849329
0.124   	354.481665
0.129   	354.131795
0.134   	353.798359
0.139   	353.480153
0.144   	353.176101
0.149   	352.885239
0.154   	352.606701
0.159   	352.339704
0.164   	352.083542
0.169   	351.837572
0.174   	351.601208
0.179   	351.373916
0.184   	351.155208
0.189   	350.944636
0.194   	350.741785
0.199   	350.546278
0.204   	350.357762
0.209   	350.175914
0.214   	350.000433
0.219   	349.831039
0.224   	349.667473
0.229   	349.509494
0.234   	349.356877
0.239   	349.209411
0.244   	349.066900
0.249   	348.929160
0.254   	348.796019
0.259   	348.667316
0.264   	348.542898
0.269   	348.422623
0.274   	348.306358
0.279   	348.193976
0.284   	348.085358
0.289   	347.980393
0.294   	347.878974
0.299   	347.781002
0.303   	347.686383
0.308   	347.595028
0.313   	347.506853
0.318   	347.421779
0.323   	347.339729
0.328   	347.260633
0.333   	347.184425
0.338   	347.111039
0.343   	347.040416
0.348   	346.972499
0.353   	346.907233
0.358   	346.844568
0.363   	346.784456
0.368   	346.726850
0.373   	346.671708
0.378   	346.618988
0.383   	346.568653
0.388   	346.520665
0.393   	346.474991
0.398   	346.431598
0.403   	346.390457
0.408   	346.351537
0.413   	346.314814
0.418   	346.280262
0.423   	346.247858
0.428   	346.217579
0.433   	346.189407
0.438   	346.163323
0.443   	346.139308
0.448   	346.117349
0.453   	346.097430
0.458   	346.079539
0.463   	346.063665
0.468   	346.049797
0.473   	346.037926
0.478   	346.028045
0.483   	346.020147
0.488   	346.014229
0.493   	346.010285
0.498   	346.008314
0.502   	346.008314
0.507   	346.010285
0.512   	346.014229
0.517   	346.020147
0.522   	346.028045
0.527   	346.037926
0.532   	346.049797
0.537   	346.063665
0.542   	346.079539
0.547   	346.097430
0.552   	346.117349
0.557   	346.139308
0.562   	346.163323
0.567   	346.189407
0.572   	346.217579
0.577   	346.247858
0.582   	346.280262
0.587   	346.314814
0.592   	346.351537
0.597   	346.390457
0.602   	346.431598
0.607   	346.474991
0.612   	346.520665
0.617   	346.568653
0.622   	346.618988
0.627   	346.671708
0.632   	346.726850
0.637   	346.784456
0.642   	346.844568
0.647   	346.907233
0.652   	346.972499
0.657   	347.040416
0.662   	347.111039
0.667   	347.184425
0.672   	347.260633
0.677   	347.339729
0.682   	347.421779
0.687   	347.506853
0.692   	347.595028
0.697   	347.686383
0.701   	347.781002
0.706   	347.878974
0.711   	347.980393
0.716   	348.085358
0.721   	348.193976
0.726   	348.306358
0.731   	348.422623
0.736   	348.542898
0.741   	348.667316
0.746   	348.796019
0.751   	348.929160
0.756   	349.066900
0.761   	349.209411
0.766   	349.356877
0.771   	349.509494
0.776   	349.667473
0.781   	349.831039
0.786   	350.000433
0.791   	350.175914
0.796   	350.357762
0.801   	350.546278
0.806   	350.741785
0.811   	350.944636
0.816   	351.155208
0.821   	351.373916
0.826   	351.601208
0.831   	351.837572
0.836   	352.083542
0.841   	352.339704
0.846   	352.606701
0.851   	352.885239
0.856   	353.176101
0.861   	353.480153
0.866   	353.798359
0.871   	354.131795
0.876   	354.481665
0.881   	354.849329
0.886   	355.236320
0.891   	355.644385
0.896   	356.075518
0.900   	356.532013
0.905   	357.016528
0.910   	357.532161
0.915   	358.082554
0.920   	358.672029
0.925   	359.305766
0.930   	359.990045
0.935   	360.732575
0.940   	361.542966
0.945   	362.433402
0.950   	363.419642
0.955   	364.522563
0.960   	365.770625
0.965   	367.204025
0.970   	368.882127
0.975   	370.897853
0.980   	373.408663
0.985   	376.713934
0.990   	381.498452
0.995   	390.010869
0.000001	0.0000001
0.005   	411.484968
0.010   	402.020725
0.015   	396.711189
0.020   	393.047400
0.025   	390.266526
0.030   	388.035410
0.035   	386.178960
0.040   	384.593912
0.045   	383.214332
0.050   	381.995590
0.055   	380.906103
0.060   	379.922709
0.065   	379.027929
0.070   	378.208257
0.075   	377.453039
0.080   	376.753731
0.085   	376.103377
0.090   	375.496239
